,OfficialId,JerseyNum,FirstName,LastName,LastNameSuffix,Position,PositionLongName,NAbbrev,Height,Weight,DOB,POB,Hometown,Country,CountryCode,Nickname,InjuryStatus,InjuryDesc,Headshot,Initials,TrackingId,TeamId,Affiliate,CloudHeadshotURL,SquadId,College,LeagueStatus
0,20017,42,Otaro,Alaka,,LB,,O. Alaka,6030,239,1996-05-18,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Otaro_Alaka_20017.png,,Texas A&M,Active
1,20041,14,Kevin,Anderson,,QB,,K. Anderson,6007,208,1994-09-14,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Kevin_Anderson_20041.png,,Fordham,Active
2,20050,19,Brandon,Arconado,,WR,,B. Arconado,5116,192,1997-08-08,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brandon_Arconado_20050.png,,Washington St,Active
3,20089,72,T.J.,Barnes,,DL,,T. Barnes,6062,369,1990-06-14,,,,,,,,,,,1,,,,Georgia Tech,Active
4,20099,41,De Vante,Bausby,,DB,,D. Bausby,6005,177,1993-01-15,,,,,,,,,,,1,,,,Pittsburg St-Ks,Active
5,20123,88,Shaun,Beyer,,TE,,S. Beyer,6047,250,1996-11-11,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Shaun_Beyer_20123.png,,Iowa,Active
6,20212,29,Shakur,Brown,,DB,,S. Brown,5096,185,1999-04-01,,,,,,,,,,,1,,,,Michigan St,Active
7,20270,22,Jamal,Carter,,DB,,J. Carter,6007,218,1994-04-12,,,,,,,,,,,1,,,,Miami-Fl,Active
8,20296,45,Will,Clarke,,DL,,W. Clarke,6061,271,1991-05-04,,,,,,,,,,,1,,,,West Virginia,Active
9,20331,58,Doug,Costin,,DL,,D. Costin,6020,295,1997-10-05,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Doug_Costin_20331.png,,Miami-Oh,Active
10,20448,15,Alex,Ellis,,TE,,A. Ellis,6044,253,1993-02-10,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Alex_Ellis_20448.png,,Tennessee,Active
11,20496,64,Brian,Folkerts,,OL,,B. Folkerts,6035,310,1990-01-30,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Brian_Folkerts_20496.png,,Washburn,Active
12,20502,23,Keith,Ford,,RB,,K. Ford,5101,219,,,,,,,,,,,,1,,,,Texas A&M,Active
13,20589,37,Nasir,Greer,,DB,,N. Greer,6006,209,,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Nasir_Greer_20589.png,,Wake Forest,Reserve List
14,20654,28,Josh,Hawkins,,DB,,J. Hawkins,5104,189,1993-01-23,,,,,,,,,,,1,,https://res.cloudinary.com/xfl-production/image/upload/v1668132138/xfl-prod/headshots/Josh_Hawkins_20654.png,,East Carolina,Active
